,SNo,Date,StartupName,IndustryVertical,SubVertical,CityLocation,InvestorsName,InvestmentType,AmountInUSD,Remarks,year,Quarter
1,0,20170801,TouchKin,Technology,Predictive Care Platform,Bangalore,Kae Capital,Private Equity,"1,300,000",NA,17,2017-Qtr3
2,1,20170802,Ethinos,Technology,Digital Marketing Agency,Mumbai,Triton Investment Advisors,Private Equity,NA,NA,17,2017-Qtr3
3,2,20170802,Leverage Edu,Consumer Internet,Online platform for Higher Education Services,New Delhi,"Kashyap Deorah, Anand Sankeshwar, Deepak Jain, Sadashiva NT, Arjun Mehta, Satish Kaul, Anindya Ghose",Seed Funding,NA,NA,17,2017-Qtr3
4,3,20170802,Zepo,Consumer Internet,DIY Ecommerce platform,Mumbai,"Kunal Shah, LetsVenture, Anupam Mittal, Hetal Sonpal",Seed Funding,"500,000",NA,17,2017-Qtr3
5,4,20170802,Click2Clinic,Consumer Internet,healthcare service aggregator,Hyderabad,"Narottam Thudi, Shireesh Palle",Seed Funding,"850,000",NA,17,2017-Qtr3
6,5,20170701,Billion Loans,Consumer Internet,Peer to Peer Lending platform,Bangalore,Reliance Corporate Advisory Services Ltd,Seed Funding,"1,000,000",NA,17,2017-Qtr3
7,6,20170703,Ecolibriumenergy,Technology,Energy management solutions provider,Ahmedabad,"Infuse Ventures, JLL",Private Equity,"2,600,000",NA,17,2017-Qtr3
8,7,20170704,Droom,eCommerce,Online marketplace for automobiles,Gurgaon,"Asset Management (Asia) Ltd, Digital Garage Inc",Private Equity,"20,000,000",NA,17,2017-Qtr3
9,8,20170705,Jumbotail,eCommerce,online marketplace for food and grocery,Bangalore,"Kalaari Capital, Nexus India Capital Advisors",Private Equity,"8,500,000",NA,17,2017-Qtr3
10,9,20170705,Moglix,eCommerce,B2B marketplace for Industrial products,Noida,"International Finance Corporation, Rocketship, Accel Partners, Jungle Ventures, Shailesh Rao, Venture Highway",Private Equity,"12,000,000",NA,17,2017-Qtr3
11,10,20170705,Timesaverz,Consumer Internet,Hyperlocal home services provider,Mumbai,BCCL,Private Equity,"1,000,000",NA,17,2017-Qtr3
12,11,20170706,Minjar,Technology,Cloud Solutions provider,Bangalore,"Blume Ventures, Contrarian Capital India Partners, Emergent Ventures India, Pallav Nadhani, Ashish Gupta, Sharad Sharma, Sirion Labs",Seed Funding,NA,NA,17,2017-Qtr3
13,12,20170706,MyCity4kids,Consumer Internet,parenting blog and kids’ events discovery platform,Gurgaon,NA,Seed Funding,NA,NA,17,2017-Qtr3
14,13,20170707,Clip App,Consumer Internet,Digital Media Video platform,Bangalore,"India Quotient, Shunwei Capital",Seed Funding,"1,000,000",NA,17,2017-Qtr3
15,14,20170707,Upwardly.in,Consumer Internet,MF investment platform,Bangalore,"Sreeram Iyer, Suvo Sarkar, Anita Gupta, Likemind Ventures",Seed Funding,NA,NA,17,2017-Qtr3
16,15,20170710,Autorox.co,Technology,Workshop Management Software Platform,Hyderabad,Mitsui & Co.,Private Equity,"3,000,000",NA,17,2017-Qtr3
17,16,20170711,Fabogo,Consumer Internet,Salon & Spa Aggregation & Discovery platform,Pune,Dunamis Ventures Pte Ltd,Private Equity,"2,250,000",NA,17,2017-Qtr3
18,17,20170711,Flickstree,Consumer Internet,Video Content Discovery Platform,Mumbai,"Venture Catalysts, Sourav Ganguly, Ankit Aditya, Moksh Sports Ventures",Seed Funding,"464,000",NA,17,2017-Qtr3
19,18,20170711,Design Cafe,Consumer Internet,Online Interior Design platform,Bangalore,"Fireside Ventures, Apurva Salarpuria, Sidharth Pansari, Sprout Capital",Seed Funding,NA,NA,17,2017-Qtr3
20,19,20170712,Innoviti,Technology,Digital payments solutions,Bangalore,"SBI-FMO Fund, Bessemer Venture Partners, Catamaran Ventures",Private Equity,"18,500,000",NA,17,2017-Qtr3
21,20,20170712,VDeliver,Logistics,Door Step Delivery platform,Hyderabad,"Corvus Ventures, MAPE Advisory Group",Private Equity,NA,NA,17,2017-Qtr3
22,21,20170712,Bottr.me,Technology,Chatbot creation tool,Bangalore,"500 Startups, Purvi Capital, Rajan Anandan, Abhishek Gupta",Seed Funding,NA,NA,17,2017-Qtr3
23,22,20170712,Arcatron,Technology,Next Gen Mobility device manufacturer,Pune,Indian Angel Network,Seed Funding,NA,NA,17,2017-Qtr3
24,23,20170714,QwikSpec,Technology,Construction site operations and analytics platform,Bangalore,"Brigade Innovations LLP, TV Mohandas Pai, Suhail Rahman, Bobby Reddy, M George Oommen",Seed Funding,"540,000",NA,17,2017-Qtr3
25,24,20170714,Chumbak,eCommerce,Designer consumer products Marketplace,Bangalore,Blacksoil Capital Pvt. Ltd,Private Equity,"1,700,000",NA,17,2017-Qtr3
26,25,20170717,Increff,Technology,Sales Solutions for Fashion Brands,Bangalore,"Sequoia Capital, Grey Orange, Rajesh Ramaiah, Anshuman Das, Rishi Das",Seed Funding,"2,000,000",NA,17,2017-Qtr3
27,26,20170717,Vayana,Technology,Enterprise Banking Solutions,Pune,"IDG Ventures India Advisors, Jungle Ventures",Private Equity,"4,000,000",NA,17,2017-Qtr3
28,27,20170718,MObiquest,Technology,Mobile Services & Solutions,Noida,One97 Communication Ltd,Private Equity,NA,NA,17,2017-Qtr3
29,28,20170718,Ambee,Consumer Internet,Ambulance Aggregation Services,Hyderabad,"Uber Technologies Inc, Amaya Capital LLP",Seed Funding,NA,NA,17,2017-Qtr3
30,29,20170718,Ideal Insurance,Consumer Internet,Online Insurance platform,Kolkata,Xelpmoc,Seed Funding,NA,NA,17,2017-Qtr3
31,30,20170718,Hypernova Interactive,Technology,Mobile games creator,Bangalore,Kae Capital,Seed Funding,NA,NA,17,2017-Qtr3
32,31,20170719,Rentomojo,Consumer Internet,Consumer Leasing Platform,Bangalore,"ain Capital Ventures, Renaud Laplanche",Private Equity,"10,000,000",NA,17,2017-Qtr3
33,32,20170719,AirCTO,Consumer Internet,AI powered recruitment platform,Bangalore,Francesco Cara,Seed Funding,NA,NA,17,2017-Qtr3
34,33,20170719,Playablo,Technology,Gamified Learning App,Bangalore,ABI-Showatech (India) Ltd,Seed Funding,"600,000",NA,17,2017-Qtr3
35,34,20170720,Trupay,Technology,Online payments platform,Gurgaon,"Kae Capital, M&S Partners,",Seed Funding,"700,000",NA,17,2017-Qtr3
36,35,20170721,Brick2Wall,eCommerce,Online Marketplace for Construction Material,Gurgaon,"Subramani Somasundaram, Sundeep Sahni, Mayank Mittal & Others",Seed Funding,"200,000",NA,17,2017-Qtr3
37,36,20170721,FableStreet,eCommerce,Women Work wear etailer,New Delhi,"Harmeet Bajaj, Pameela P, Fusiontech Ventures & Others",Seed Funding,NA,NA,17,2017-Qtr3
38,37,20170721,Monsoon Fintech,Technology,Machine Learning Access platform,New Delhi,"Sunil Kalra, Aditya Singh, Rishi Srivastava, Rajan Anandan",Seed Funding,NA,NA,17,2017-Qtr3
39,38,20170721,MonkeyBox,Consumer Internet,Healthy Food Delivery Platform,Bangalore,"Blume Ventures, NB Ventures, Nspira",Seed Funding,NA,NA,17,2017-Qtr3
40,39,20170725,Noticeboard,Consumer Internet,Mobile-first Enterprise communication platform,Bangalore,"Stellaris Venture Partners,",Private Equity,"1,200,000",NA,17,2017-Qtr3
41,40,20170725,Byju’s,Consumer Internet,Mobile Learning App,Bangalore,Tencent Holdings,Private Equity,"35,000,000",NA,17,2017-Qtr3
42,41,20170726,Creator’s Gurukul,Others,Co-Working Space Provider,New Delhi,Yuvraj Singh,Seed Funding,NA,NA,17,2017-Qtr3
43,42,20170726,Fab Hotels,Consumer Internet,Budget hotels brand & Aggregator Platform,New Delhi,Goldman Sachs,Private Equity,"25,000,000",NA,17,2017-Qtr3
44,43,20170726,ThinkerBell,Consumer Internet,Assisted Learning Startup,Bangalore,"Indian Angel Network, Anand Mahindra",Seed Funding,"200,000",NA,17,2017-Qtr3
45,44,20170727,1mg,eCommerce,Online Pharmacy,Gurgaon,"HBM Healthcare Investments, Maverick Capital Ventures, Sequoia India, Omidyar Network and Kae Capital",Private Equity,"15,000,000",NA,17,2017-Qtr3
46,45,20170728,Jhakaas,Consumer Internet,App-based Aggregator of Offline Businesses,Mumbai,Amen Dhyllon,Seed Funding,NA,NA,17,2017-Qtr3
47,46,20170728,BigStylist,Consumer Internet,Beauty Services Marketplace,Mumbai,Info Edge (India) Ltd,Private Equity,"1,250,000",NA,17,2017-Qtr3
48,47,20170728,Gympik.com,Consumer Internet,online marketplace for discovering fitness centres,bangalore,RoundGlass Partners,Seed Funding,NA,NA,17,2017-Qtr3
49,48,20170601,Tripeur,Technology,Mobile based travel ERP platform,Bangalore,"Grace Grace Techno Ventures LLP, Rajul Garg & Other undisclosed investors",Seed Funding,NA,NA,17,2017-Qtr2
50,49,20170602,RentOnGo,eCommerce,"Online Marketplace for Renting Bikes, Electronics & Appliances",Bangalore,TVS Motor Company,Private Equity,NA,NA,17,2017-Qtr2
51,50,20170605,Goomo,Consumer Internet,Online Travel & Holiday Booking platform,Mumbai,Emerging India,Private Equity,"50,000,000",NA,17,2017-Qtr2
52,51,20170605,MaxMyWealth,Consumer Internet,Online Wealth Management & Savings platform,Mumbai,"blockchain ecosystem Global Advisors, Horseferry",Private Equity,NA,NA,17,2017-Qtr2
53,52,20170606,Spinny,eCommerce,Online Used Car marketplace,Gurgaon,"Blume Ventures, Indian Angel Network, Kunal Shah, Sandeep Tandon",Private Equity,"1,000,000",NA,17,2017-Qtr2
54,53,20170606,Healthbuds,Consumer Internet,Healthcare Discovery & booking platform,Kolkata,"Arun Patodia, Bharat Kedia",Seed Funding,NA,NA,17,2017-Qtr2
55,54,20170606,Ftcash,Consumer Internet,Mobile Payments platform,Mumbai,"500 Startups, IvyCap Ventures",Private Equity,NA,NA,17,2017-Qtr2
56,55,20170606,BHIVE Workspace,Consumer Internet,co-working spaces,Bangalore,Blume Ventures,Private Equity,"1,200,000",NA,17,2017-Qtr2
57,56,20170606,wayForward,Consumer Internet,Mobile app for Mental Health,New Delhi,"Harsh Mahajan, Farhan Naqvi, Sreepathy Viswanathan",Seed Funding,"1,000,000",NA,17,2017-Qtr2
58,57,20170606,GyanDhan,Consumer Internet,Education Marketplace,New Delhi,Sundaram Finance Holdings,Private Equity,NA,NA,17,2017-Qtr2
59,58,20170606,Hungry Foal,Consumer Internet,For profit Social Venture,Gurgaon,SBI (Stand Up India Scheme),Private Equity,NA,NA,17,2017-Qtr2
60,59,20170607,ZipLoan,Consumer Internet,Online lending platform,New Delhi,WaterBridge Ventures,Seed Funding,"650,000",NA,17,2017-Qtr2
61,60,20170607,GrowFitter,Consumer Internet,health and fitness discovery platform,Mumbai,SQue Capital,Seed Funding,"600,000",NA,17,2017-Qtr2
62,61,20170608,Stratfit,Consumer Internet,Health coaching programs,Hyderabad,Bodhtree Consulting Limited,Seed Funding,"232,000",NA,17,2017-Qtr2
63,62,20170608,Multiplier Solutions,Technology,CRM Software for Healthcare space,Hyderabad,Norwest Venture Partners,Private Equity,"1,500,000",NA,17,2017-Qtr2
64,63,20170608,ABI Health,Technology,Unified Digital Health Platform,Bangalore,Norwest Venture Partners,Private Equity,"1,500,000",NA,17,2017-Qtr2
65,64,20170608,Stockal,Consumer Internet,App-based Investment advisory Services,Bangalore,"Mohan Alexander, R. Natarajan, Vikrant Varshney, Amit Sinha",Seed Funding,"350,000",NA,17,2017-Qtr2
66,65,20170609,Guidoo,Consumer Internet,Travel & adventure planning platform,Mumbai,"Pawan Borle, Nirmal Singh, Manish Prasad, Vineet Varma, Nick Haulkoury, Abhai S. Rao",Seed Funding,"300,000",NA,17,2017-Qtr2
67,66,20170609,eSahai.in,Consumer Internet,ambulance aggregator and medical taxi provider,Hyderabad,"Dr Ramesh Ayyala, Satya Muthyala",Seed Funding,"250,000",NA,17,2017-Qtr2
68,67,20170612,Loanmeet,Consumer Internet,Online peer-to-peer lending platform,Bangalore,"Cao Yibin, Huang Wei, Madhusudan E,",Seed Funding,NA,NA,17,2017-Qtr2
69,68,20170612,LendingKart,Consumer Internet,Online Lending platform,Ahmedabad,Yes Bank,Debt Funding,"7,800,000",NA,17,2017-Qtr2
70,69,20170612,Boxx.ai,Technology,Artificial Intelligence,Bangalore,"Unicorn India Ventures, Venky Krishnakumar, Suresh Shankar, Vivek Bhargava",Private Equity,"500,000",NA,17,2017-Qtr2
71,70,20170612,PeeSafe.in,Healthcare,Hygiene care product manufacturer,New Delhi,"Venture Catalysts, Alfa Capital, Green Shots Capital, Real Time Ventures",Private Equity,"1,000,000",NA,17,2017-Qtr2
72,71,20170612,Vista Rooms,Consumer Internet,Online rooms aggregation platform,Mumbai,"Artha India Ventures, Singularity Holdings, Rajan Anandan, Girish Mathrubootham",Seed Funding,"776,000",NA,17,2017-Qtr2
73,72,20170612,CoverFox,Consumer Internet,Online insurance brokerage platform,Mumbai,Transamerica,Private Equity,"15,000,000",NA,17,2017-Qtr2
74,73,20170613,HyperTrack,Technology,Location tracking solutions,New Delhi,"Nexus Venture Partners, Founders Fund",Private Equity,NA,NA,17,2017-Qtr2
75,74,20170613,Goodera,Technology,CSR and sustainability management platform,Bangalore,"Nexus Venture Partners, Omidyar Network",Private Equity,"5,500,000",NA,17,2017-Qtr2
76,75,20170613,Digit,Technology,Tech driven Insurance platform,Bangalore,Fairfax Holdings,Private Equity,NA,NA,17,2017-Qtr2
77,76,20170614,Ola,Consumer Internet,Cab Aggregation App,Bangalore,Tekne Capital Management LLC,Private Equity,"50,000,000",NA,17,2017-Qtr2
78,77,20170614,Vanitycask,Consumer Internet,Beauty products discovery platform,Mumbai,RB Investments,Seed Funding,NA,NA,17,2017-Qtr2
79,78,20170614,MrNeeds,Consumer Internet,Micro Food Delivery platform,Noida,undisclosed investors,Seed Funding,"500,000",NA,17,2017-Qtr2
80,79,20170615,MoneyTap,Consumer Internet,Money Lending platform,Bangalore,"Sequoia India, NEA, Prime Venture Partners",Private Equity,"12,300,000",NA,17,2017-Qtr2
81,80,20170616,Goodbox,eCommerce,Mobile SAAS  ECommerce platform for SMEs,Bangalore,"Nexus Venture Partners, Mekin Maheshwari",Private Equity,"1,000,000",NA,17,2017-Qtr2
82,81,20170616,Fincash,Consumer Internet,Personal Finance platform,Mumbai,"Mohammed Khan, Sameer Narayan & Others",Seed Funding,"100,000",NA,17,2017-Qtr2
83,82,20170616,PortDesk,Technology,Maritime Solutions,Noida,Alphard Maritime Group,Seed Funding,"2,000,000",NA,17,2017-Qtr2
84,83,20170616,EdgeFx,eCommerce,DIY project Kits seller,Hyderabad,"Cross Border Angels & Experts, Rajasthan Angel Innovators Network, The Chennai Angels",Seed Funding,NA,NA,17,2017-Qtr2
85,84,20170616,EazyDiner,Consumer Internet,Online Restaurant Reservation Platform,Gurgaon,YouWeCan Ventures,Seed Funding,NA,NA,17,2017-Qtr2
86,85,20170616,HealthIntel,Healthcare,Online Pharmacy,New Delhi,BLIP Initiatives,Seed Funding,NA,NA,17,2017-Qtr2
87,86,20170619,Unbxd,Technology,Cloud-based product discovery platform,Bangalore,Eight Roads Ventures,Private Equity,"12,500,000",NA,17,2017-Qtr2
88,87,20170619,DarwinBox,Technology,Enterprise human resources management platform,Hyderabad,"Lightspeed India Partners, Endiya Partners, 3one4 Capital Advisors LLP, Startupxseed Ventures LLP",Private Equity,"4,000,000",NA,17,2017-Qtr2
89,88,20170620,ForeverShop,Consumer Internet,Mobile based ecommerce platform,Bangalore,91maker.com,Seed Funding,"300,000",NA,17,2017-Qtr2
90,89,20170620,Insider.in,Consumer Internet,Events Ticketing platform,Mumbai,Paytm,Private Equity,"5,200,000",NA,17,2017-Qtr2
91,90,20170621,Fynd,eCommerce,Fashion etailer,Mumbai,"IIFL Seed Ventures, Kae Capital, FJ Labs, Singularity Ventures, GrowX, Tracxn Labs, Axis Capital",Private Equity,"2,400,000",NA,17,2017-Qtr2
92,91,20170621,Grow Fit,Consumer Internet,Health-Tech platform,Bangalore,"Manipal Education and Medical Group (MEMG), SAR Group, The Grover Trust",Private Equity,"4,500,000",NA,17,2017-Qtr2
93,92,20170621,Fabulyst,Technology,Artificial Intelligence based platform,Hyderabad,iBhubs,Seed Funding,"215,000",NA,17,2017-Qtr2
94,93,20170621,mSwipe,Technology,Point-of-Sale services,Mumbai,"UC-RNT Fund, Matrix Partners, alcon Edge Capital, DSG Consumer Partners",Private Equity,"31,000,000",NA,17,2017-Qtr2
95,94,20170621,OneAssist,Consumer Internet,Credit card fraud protection,Mumbai,Sequoia Capital,Private Equity,NA,NA,17,2017-Qtr2
96,95,20170622,Julia Computing,Technology,Open Source Language for Data Science and Machine Learning,Bangalore,"General Catalyst, Founder Collective",Private Equity,"4,600,000",NA,17,2017-Qtr2
97,96,20170622,Kissht,Consumer Internet,Consumer Lending platform,Mumbai,"Endiya Partners, Ventureast",Private Equity,"2,000,000",NA,17,2017-Qtr2
98,97,20170622,Explore Life traveling,Consumer Internet,Local homes booking platform,Bangalore,"Mekin Maheshwari, Bharat Vijay, Krish Seshadri, Amar Arsikere",Seed Funding,"500,000",NA,17,2017-Qtr2
99,98,20170623,Loantap,Consumer Internet,Lending platform for salaried professionals,Mumbai,"Kae Capital, India Quotient, IFMR, and MAS Financial Services Ltd",Private Equity,"4,000,000",NA,17,2017-Qtr2
100,99,20170623,Voxweb,Consumer Internet,Mobile based social networking platform,Mumbai,Undisclosed investors,Seed Funding,"1,000,000",NA,17,2017-Qtr2
101,100,20170626,HUG Innovations,Technology,Gesture based  Smartwatch manufacturer,Hyderabad,"Mohit Srivastav, Kishore Ganji, Venkat Vallabhaneni, Rajeev Menon",Private Equity,"5,000,000",NA,17,2017-Qtr2
102,101,20170626,Flipkart,eCommerce,Online marketplace,Bangalore,Naspers,Private Equity,"71,000,000",NA,17,2017-Qtr2
103,102,20170626,V Resorts,Consumer Internet,Holiday & Vacation resort aggregator,Noida,"Seedfund, RB International",Private Equity,"4,000,000",NA,17,2017-Qtr2
104,103,20170627,Stashfin,Consumer Internet,Personal Finance App,New Delhi,"Snow Leopard Ventures, Alto Partners",Private Equity,"5,000,000",NA,17,2017-Qtr2
105,104,20170627,Formcept,Consumer Internet,Unified Data Analysis platform,Bangalore,Gujarat Venture Finance Ltd,Private Equity,NA,NA,17,2017-Qtr2
106,105,20170627,Spares Hub,eCommerce,Automobile parts marketplace,Pune,"The Chennai Angels, Anthill Scale Ventures, Esvee Technologies Inc, Inc95 Consulting",Seed Funding,"311,000",NA,17,2017-Qtr2
107,106,20170628,FiTraQ,Consumer Internet,Fitness Centre Discovery Platform,New Delhi,"Aparup Sengupta, Devendra Reddy,",Seed Funding,NA,NA,17,2017-Qtr2
108,107,20170628,Rubique,Consumer Internet,Online Marketplace for financial products,Mumbai,"Kalaari Capital, Udayan Goyal",Private Equity,"3,000,000",NA,17,2017-Qtr2
109,108,20170628,Niki.ai,Consumer Internet,AI Based Personal Assistant,Bangalore,"SAP.iO, Unilazer Ventures",Private Equity,"2,000,000",NA,17,2017-Qtr2
110,109,20170629,Fitpass,Consumer Internet,Online Fitness Marketplace,New Delhi,"Abhinav Bindra, Gaurav Marya",Private Equity,"1,000,000",NA,17,2017-Qtr2
111,110,20170629,ZingHR,Technology,"digital employee solutions,",Mumbai,Zeta,Private Equity,NA,NA,17,2017-Qtr2
112,111,20170630,Tagos Design,Technology,in-video discovery platform,Bangalore,Undisclosed Investors,Private Equity,"5,000,000",NA,17,2017-Qtr2
113,112,20170630,UrbanClap,Consumer Internet,Mobile Services Marketplace,Gurgaon,"Vy Capital, SAIF Partners, Accel Partner, Bessemer Venture Partners",Private Equity,"21,000,000",NA,17,2017-Qtr2
114,113,20170501,Ace2three,Consumer Internet,Online Rummy playing Website,Hyderabad,Clairvest Group,Private Equity,"73,700,000",NA,17,2017-Qtr2
115,114,20170501,Power2SME,eCommerce,Buying portal for SMEs,Gurgaon,International Finance Corporation,Private Equity,"10,000,000",NA,17,2017-Qtr2
116,115,20170502,Innovapptive,Technology,Enterprise Mobility Solutions,Hyderabad,Hyderabad Angels,Seed Funding,"1,500,000",NA,17,2017-Qtr2
117,116,20170502,4tigo,Logistics,Truck Network company,Bangalore,"Accel Partners, Nandan Nilekani,",Private Equity,"10,000,000",NA,17,2017-Qtr2
118,117,20170502,SMECorner,Consumer Internet,Online Platform for small business loans,Mumbai,Dutch government fund,Private Equity,NA,NA,17,2017-Qtr2
119,118,20170502,ZippServe,Consumer Internet,Real estate risk assessment platform,Bangalore,undisclosed investors,Seed Funding,"390,000",NA,17,2017-Qtr2
120,119,20170503,Ola,Consumer Internet,Cab Aggregation App,Bangalore,"Falcon Edge Capital,  Capital Advisers",Private Equity,"104,500,000",NA,17,2017-Qtr2
121,120,20170503,Sumeru,Technology,Software & Mobile development services,Bangalore,undisclosed investors,Seed Funding,"1,000,000",NA,17,2017-Qtr2
122,121,20170504,Healthians,Consumer Internet,Online Diagnostics and wellness platform,New Delhi,"Asuka Holdings, YouWeCan Ventures, Beenext, Beenos, M&S Partners",Private Equity,NA,NA,17,2017-Qtr2
123,122,20170505,HealthMir,Consumer Internet,AI-based health content platform,New Delhi,Nimit Panigrahi,Seed Funding,NA,NA,17,2017-Qtr2
124,123,20170505,Uactive,Consumer Internet,Health-based social networking & discovery App,Mumbai,Hinduja family,Seed Funding,NA,NA,17,2017-Qtr2
125,124,20170505,i-lend,Consumer Internet,Peer-to-peer lending platform,Hyderabad,50K Ventures,Seed Funding,NA,NA,17,2017-Qtr2
126,125,20170505,Good Methods Global,Technology,Cloud Based Practice Management Software,Trivandrum,Accel Partners,Private Equity,NA,NA,17,2017-Qtr2
127,126,20170505,Balance App,Consumer Internet,Money Savings & Management App,Bangalore,Rainmatter,Seed Funding,"233,000",NA,17,2017-Qtr2
128,127,20170508,YepMe,eCommerce,Private Label Fashion etailer,Gurgaon,"Rainbow Digital Services Pvt. Ltd, ILearnFinance Academy Pvt. Ltd.",Private Equity,"700,000",NA,17,2017-Qtr2
129,128,20170508,Nightstay,Consumer Internet,Last minute hotel booking mobile app,New Delhi,"Indian Angels Network, LetsVenture",Seed Funding,NA,NA,17,2017-Qtr2
130,129,20170508,Devourin,Technology,Restaurant Automation Solution,Pune,Deepak Nathani,Seed Funding,NA,NA,17,2017-Qtr2
131,130,20170508,MyGreens,Food & Beverage,Cold-press Juices manufacturer,New Delhi,"Ajay Relan, LetsVenture",Seed Funding,"1,000,000",NA,17,2017-Qtr2
132,131,20170508,Ace Turtle,Technology,Omni-Channel Platform,Bangalore,"Vertex Ventures, C31 Ventures",Private Equity,"5,000,000",NA,17,2017-Qtr2
133,132,20170508,CureFit,Technology,Health-Tech Platform,Bangalore,"RNT Capital, Gokul Rajaram, Aditya Agarwal, Ruchi Sanghvi & others",Private Equity,"3,000,000",NA,17,2017-Qtr2
134,133,20170509,Curie Labs,Technology,Energy Analytics startup,New Delhi,Satoshi Studios,Seed Funding,"50,000",NA,17,2017-Qtr2
135,134,20170509,Uncanny Vision,Technology,Computer Vision on Embedded Systems,Bangalore,Anand Chandrasekaran,Seed Funding,NA,NA,17,2017-Qtr2
136,135,20170509,Anchanto,Technology,Ecommerce Fulfilment and Technology Platform,Pune,Luxasia Group,Private Equity,NA,NA,17,2017-Qtr2
137,136,20170509,Sequretek,Technology,IT Security & Data Management Services,Mumbai,"GVFL, Unicorn India Ventures",Private Equity,NA,NA,17,2017-Qtr2
138,137,20170510,Lucideus,Technology,Cyber Security Startup,New Delhi,"Vellayan Subbiah, Jonathan Boutelle, Rajan Anandan,  Rahul Chawla, Salil Donde, Amit Ranjan, Govind Rajan & Others",Seed Funding,NA,NA,17,2017-Qtr2
139,138,20170510,Vidooly,Consumer Internet,Video Intelligence platform,Noida,"Times Internet, GVFL",Private Equity,"1,400,000",NA,17,2017-Qtr2
140,139,20170510,Shopclues,eCommerce,Online marketplace,Gurgaon,InnoVen Capital,Private Equity,"7,700,000",NA,17,2017-Qtr2
141,140,20170510,Fourth Ambit,Consumer Internet,Community Building platform,Bangalore,1Crowd,Seed Funding,"600,000",NA,17,2017-Qtr2
142,141,20170510,Chymera VR,Technology,Advertising Platform for Virtual Reality,Bangalore,"Varsha Rao, Surojit Chatterjee, Nirav Choksi & Others",Seed Funding,NA,NA,17,2017-Qtr2
143,142,20170511,Early Salary,Consumer Internet,Online lending platform,Pune,"DG Ventures India, Dewan Housing Finance Corp",Private Equity,"4,000,000",NA,17,2017-Qtr2
144,143,20170511,Book My Diamond,eCommerce,Diamond B2B eTailer,Mumbai,Chirag Nikunj Sheth & Others,Seed Funding,NA,NA,17,2017-Qtr2
145,144,20170511,ION Energy,Technology,Clean Tech Startup,Mumbai,"Aakrit Vaish, Swapan Rajdev, Sushill Jiwarajka",Seed Funding,NA,NA,17,2017-Qtr2
146,145,20170512,Legal Raasta,Consumer Internet,Legal Services to SMEs & Individuals,New Delhi,Impanix Capital,Private Equity,"5,000,000",NA,17,2017-Qtr2
147,146,20170512,Log 9 Materials,Technology,NanoTech product developer,Bangalore,GEMs,Seed Funding,NA,NA,17,2017-Qtr2
148,147,20170512,Remit Guru,Consumer Internet,Digital money transfer platform,Mumbai,"Infibeam, CCavenue",Private Equity,"466,000",NA,17,2017-Qtr2
149,148,20170512,Aequm,eCommerce,Cloud ECommerce platform,Bangalore,undisclosed investors,Seed Funding,"1,000,000",NA,17,2017-Qtr2
150,149,20170515,Zapty,Technology,Project Management tool,Bangalore,IdeaSpring Capital,Seed Funding,"500,000",NA,17,2017-Qtr2
151,150,20170515,Vernacular.ai,Technology,Multi-lingual AI Platform for Businesses,Bangalore,Kstart Capital,Seed Funding,NA,NA,17,2017-Qtr2
152,151,20170516,Niki.ai,Technology,AI-based chatbot,Bangalore,SAP,Private Equity,NA,NA,17,2017-Qtr2
153,152,20170516,Telr,Technology,Online Payment Gateway,Mumbai,Innovations East,Private Equity,"3,000,000",NA,17,2017-Qtr2
154,153,20170516,Fynd,eCommerce,Fashion ECommerce Portal,Mumbai,Rocketship,Private Equity,"500,000",NA,17,2017-Qtr2
155,154,20170517,Genie,Consumer Internet,hyperlocal delivery and logistics mobile app,Chennai,undisclosed investors,Seed Funding,"250,000",NA,17,2017-Qtr2
156,155,20170517,Paysense,Consumer Internet,Online Lending platform,Mumbai,Jungle Ventures,Private Equity,"5,300,000",NA,17,2017-Qtr2
157,156,20170518,The Good Life,ECommerce,Online Luxury Tea etailer,Mumbai,"Ayesha Takia Azmi, Abu Farhan Azmi",Seed Funding,"1,000,000",NA,17,2017-Qtr2
158,157,20170518,PumpKart,eCommerce,Online Water Pumps etailer,Chandigarh,Dr. Ritesh Malik,Seed Funding,NA,NA,17,2017-Qtr2
159,158,20170518,Paytm,ECommerce,Mobile Wallet & ECommerce platform,Bangalore,SoftBank Group,Private Equity,"1,400,000,000",NA,17,2017-Qtr2
160,159,20170519,EzCred,Consumer Internet,Consumer Lending Platform,Bangalore,"Dheeraj Pandey, Rajesh Yohannan, Akash Garg",Seed Funding,"1,000,000",NA,17,2017-Qtr2
161,160,20170519,HealthSutra,Food & Beverage,Health Food Maker,Hyderabad,"Ankur Capital, Hyderabad Angels",Seed Funding,NA,NA,17,2017-Qtr2
162,161,20170520,YepMe,eCommerce,Private Fashion Brand etailer,New Delhi,Gokaldas Exports Ltd,Private Equity,NA,NA,17,2017-Qtr2
163,162,20170522,Delhivery,Logistics,ECommerce Logistics provider,New Delhi,Fosun International,Private Equity,"30,000,000",NA,17,2017-Qtr2
164,163,20170522,ZipGrid,Consumer Internet,"Cashless, paperless solutions for Housing societies",Mumbai,"JLL, 1Crowd",Seed Funding,"500,000",NA,17,2017-Qtr2
165,164,20170523,TravelSpice,ECommerce,Travel ECommerce portal,Hyderabad,Eagle10 Ventures,Seed Funding,NA,NA,17,2017-Qtr2
